year,month,day,hour,weekday
2026,7,1,3,2
2026,7,1,8,2
2026,7,1,12,2
2026,7,1,15,2
2026,7,1,17,2
2026,7,1,19,2
2026,7,1,21,2
2026,7,1,23,2
2026,7,2,3,3
2026,7,2,7,3
2026,7,2,10,3
2026,7,2,12,3
2026,7,2,15,3
2026,7,2,17,3
2026,7,2,19,3
2026,7,2,21,3
2026,7,2,23,3
2026,7,3,2,4
2026,7,3,6,4
2026,7,3,9,4
2026,7,3,12,4
2026,7,3,15,4
2026,7,3,17,4
2026,7,3,19,4
2026,7,3,21,4
2026,7,3,23,4
2026,7,4,2,5
2026,7,4,6,5
2026,7,4,9,5
2026,7,4,11,5
2026,7,4,13,5
2026,7,4,15,5
2026,7,4,17,5
2026,7,4,19,5
2026,7,4,20,5
2026,7,4,22,5
2026,7,4,23,5
2026,7,5,4,6
2026,7,5,7,6
2026,7,5,10,6
2026,7,5,12,6
2026,7,5,14,6
2026,7,5,16,6
2026,7,5,18,6
2026,7,5,20,6
2026,7,5,22,6
2026,7,6,0,0
2026,7,6,5,0
2026,7,6,10,0
2026,7,6,14,0
2026,7,6,17,0
2026,7,6,19,0
2026,7,6,21,0
2026,7,6,23,0
2026,7,7,3,1
2026,7,7,7,1
2026,7,7,10,1
2026,7,7,13,1
2026,7,7,16,1
2026,7,7,19,1
2026,7,7,21,1
2026,7,7,23,1
2026,7,8,2,2
2026,7,8,5,2
2026,7,8,8,2
2026,7,8,11,2
2026,7,8,14,2
2026,7,8,16,2
2026,7,8,18,2
2026,7,8,20,2
2026,7,8,22,2
2026,7,9,0,3
2026,7,9,4,3
2026,7,9,8,3
2026,7,9,11,3
2026,7,9,15,3
2026,7,9,17,3
2026,7,9,19,3
2026,7,9,21,3
2026,7,9,23,3
2026,7,10,3,4
2026,7,10,7,4
2026,7,10,10,4
2026,7,10,13,4
2026,7,10,16,4
2026,7,10,18,4
2026,7,10,20,4
2026,7,10,22,4
2026,7,10,23,4
2026,7,11,2,5
2026,7,11,5,5
2026,7,11,7,5
2026,7,11,9,5
2026,7,11,11,5
2026,7,11,13,5
2026,7,11,14,5
2026,7,11,15,5
2026,7,11,16,5
2026,7,11,17,5
2026,7,11,19,5
2026,7,11,20,5
2026,7,11,21,5
2026,7,11,22,5
2026,7,11,23,5
2026,7,12,2,6
2026,7,12,5,6
2026,7,12,8,6
2026,7,12,10,6
2026,7,12,11,6
2026,7,12,13,6
2026,7,12,14,6
2026,7,12,15,6
2026,7,12,17,6
2026,7,12,19,6
2026,7,12,20,6
2026,7,12,21,6
2026,7,12,22,6
2026,7,12,23,6
2026,7,13,2,0
2026,7,13,6,0
2026,7,13,10,0
2026,7,13,13,0
2026,7,13,16,0
2026,7,13,18,0
2026,7,13,20,0
2026,7,13,21,0
2026,7,13,22,0
2026,7,13,23,0
2026,7,14,2,1
2026,7,14,5,1
2026,7,14,8,1
2026,7,14,10,1
2026,7,14,12,1
2026,7,14,14,1
2026,7,14,16,1
2026,7,14,18,1
2026,7,14,20,1
2026,7,14,21,1
2026,7,14,22,1
2026,7,14,23,1
2026,7,15,3,2
2026,7,15,6,2
2026,7,15,9,2
2026,7,15,11,2
2026,7,15,13,2
2026,7,15,15,2
2026,7,15,17,2
2026,7,15,19,2
2026,7,15,20,2
2026,7,15,22,2
2026,7,15,23,2
2026,7,16,2,3
2026,7,16,5,3
2026,7,16,8,3
2026,7,16,10,3
2026,7,16,12,3
2026,7,16,15,3
2026,7,16,17,3
2026,7,16,19,3
2026,7,16,20,3
2026,7,16,22,3
2026,7,16,23,3
2026,7,17,3,4
2026,7,17,6,4
2026,7,17,9,4
2026,7,17,11,4
2026,7,17,13,4
2026,7,17,15,4
2026,7,17,17,4
2026,7,17,19,4
2026,7,17,20,4
2026,7,17,21,4
2026,7,17,22,4
2026,7,17,23,4
2026,7,18,2,5
2026,7,18,5,5
2026,7,18,7,5
2026,7,18,9,5
2026,7,18,11,5
2026,7,18,13,5
2026,7,18,14,5
2026,7,18,15,5
2026,7,18,16,5
2026,7,18,17,5
2026,7,18,19,5
2026,7,18,20,5
2026,7,18,21,5
2026,7,18,22,5
2026,7,18,23,5
2026,7,19,2,6
2026,7,19,5,6
2026,7,19,8,6
2026,7,19,10,6
2026,7,19,11,6
2026,7,19,13,6
2026,7,19,14,6
2026,7,19,15,6
2026,7,19,17,6
2026,7,19,19,6
2026,7,19,20,6
2026,7,19,21,6
2026,7,19,22,6
2026,7,19,23,6
2026,7,20,3,0
2026,7,20,6,0
2026,7,20,10,0
